curie,label,retrieved_at
ENVO:00000486,shoreline,2026-06-18T00:04:47.403932
ENVO:00001998,soil,2026-06-14T12:52:14.993118
ENVO:00002007,sediment,2026-06-14T12:52:12.776805
ENVO:00005801,rhizosphere,2026-06-14T12:50:57.010713
ENVO:00005802,bulk soil,2026-06-14T12:50:57.011224
ENVO:01000666,area of open water,2026-06-18T00:04:47.402087
ENVO:01001004,groundwater,2026-06-14T12:52:12.777578
ENVO:01001209,wetland ecosystem,2026-06-18T00:04:47.403239
