curie,label,retrieved_at
PO:0000025,root tip,2026-06-17T23:39:58.553307
PO:0009005,root,2026-06-14T12:50:57.006708
PO:0009006,shoot system,2026-06-14T12:52:18.886317
PO:0009047,stem,2026-06-14T12:50:57.006351
PO:0025034,leaf,2026-06-14T12:50:57.005657
