curie,label,retrieved_at
CHEBI:16236,ethanol,2026-06-14T12:52:32.615376
CHEBI:17580,linalool,2026-06-14T12:52:43.292976
CHEBI:25195,mercury atom,2026-06-15T14:01:29.901674
CHEBI:25322,methylmercury compound,2026-06-15T14:01:29.902334
CHEBI:27961,"1,8-cineole",2026-06-14T12:52:43.291711
CHEBI:6457,lignin,2026-06-14T12:52:32.616810
CHEBI:7524,nerolidol,2026-06-14T12:52:43.293939
